[x_min: 806, x_max: 809], [y_min: 954, y_max: 957]
[x_min: 740, x_max: 745], [y_min: 953, y_max: 958]
[x_min: 761, x_max: 769], [y_min: 951, y_max: 959]
[x_min: 803, x_max: 810], [y_min: 930, y_max: 938]
[x_min: 717, x_max: 728], [y_min: 930, y_max: 938]
[x_min: 782, x_max: 788], [y_min: 908, y_max: 917]
[x_min: 803, x_max: 810], [y_min: 906, y_max: 918]
[x_min: 679, x_max: 684], [y_min: 890, y_max: 893]
[x_min: 718, x_max: 725], [y_min: 888, y_max: 896]
[x_min: 847, x_max: 852], [y_min: 885, y_max: 893]
[x_min: 817, x_max: 830], [y_min: 878, y_max: 894]
[x_min: 1017, x_max: 1027], [y_min: 868, y_max: 875]
[x_min: 678, x_max: 682], [y_min: 867, y_max: 872]
[x_min: 736, x_max: 745], [y_min: 841, y_max: 855]
[x_min: 763, x_max: 769], [y_min: 818, y_max: 830]
[x_min: 674, x_max: 732], [y_min: 814, y_max: 878]
[x_min: 739, x_max: 746], [y_min: 811, y_max: 836]
[x_min: 612, x_max: 617], [y_min: 761, y_max: 766]
[x_min: 622, x_max: 688], [y_min: 760, y_max: 863]
[x_min: 909, x_max: 916], [y_min: 759, y_max: 766]
[x_min: 885, x_max: 899], [y_min: 759, y_max: 770]
[x_min: 908, x_max: 916], [y_min: 739, y_max: 748]
[x_min: 932, x_max: 938], [y_min: 738, y_max: 745]
[x_min: 847, x_max: 853], [y_min: 676, y_max: 682]
[x_min: 656, x_max: 657], [y_min: 655, y_max: 656]
[x_min: 719, x_max: 723], [y_min: 646, y_max: 661]
[x_min: 845, x_max: 854], [y_min: 634, y_max: 662]
[x_min: 696, x_max: 1218], [y_min: 624, y_max: 1384]
[x_min: 680, x_max: 681], [y_min: 612, y_max: 613]
[x_min: 823, x_max: 831], [y_min: 606, y_max: 620]
[x_min: 685, x_max: 703], [y_min: 602, y_max: 618]
[x_min: 867, x_max: 873], [y_min: 600, y_max: 617]
[x_min: 844, x_max: 854], [y_min: 600, y_max: 617]
